"CoP","CoPyear","CoPcity","Status","Delegation","URL","Honorific","PersonID","Affiliation","AffiliationStatus","CoPlatitude","CoPlongitude","Latitude","Longitude","GeoPrecision","Distance","Party","Observer","Female","Male","DelegationCOW","Delegation_ISO"
"CoP3",1981,"New Delhi (India)","Parties","India","https://cites.org/sites/default/files/eng/cop/03/E03-List-of-Participants-Parties.pdf","NA","22903287485384597839686149878","Rana Pratap Marg Lucknew UP","KeptOriginal",28.6430858,77.2192671,"26.84","80.93","city","416.568499561171",1,0,0,1,750,"IND"
"CoP8",1992,"Kyoto (Japan)","Parties","Togo","https://cites.org/sites/default/files/eng/cop/08/E-Participants.pdf","NA","72361112501024834583191233378","Doussard, Auvergne-Rhône-Alpes, France","KeptOriginal",35.0115754,135.7681441,"45.78","6.22","city","9704.94348775956",1,0,0,1,461,"TGO"
"CoP2",1979,"San José (Costa Rica)","Observers","Wild Bird Society of Japan","https://cites.org/sites/default/files/eng/cop/02/E02-List-of-participants-Observers.pdf","NA","65729414712976311263165225120","Shibuya, Japan","City",9.9325427,-84.0795782,"35.66","139.7","city","13177.4407894668",0,1,0,1,NA,NA
"CoP6",1987,"Ottawa (Canada)","Observers","Indian and Northern Affairs, Canadian Federal Government","https://cites.org/sites/default/files/eng/cop/06/E06-List-of-Participants-Observers.pdf","NA","68010643819679323919334910584","Ottawa, Ontario, Canada","City",45.4208777,-75.6901106,"45.42","-75.69","city","0.0979767840784966",0,1,1,0,NA,NA
"CoP15",2010,"Doha (Qatar)","Parties","Afghanistan","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","68957767299650678277767056496","Protected Area Department Ministry of Agriculture Irrigation and Livestock Jamal Mina KABUL - E ghayorahmadyar mailgovaf","KeptOriginal",25.2856329,51.5264162,"34.53","69.19","city","1984.17818096994",1,0,0,1,700,"AFG"
"CoP6",1987,"Ottawa (Canada)","Parties","Japan","https://cites.org/sites/default/files/eng/cop/06/E06-List-of-Participants-Parties.pdf","NA","47261791718283207474725316088","Ministry of Foreign Affairs Tokyo","KeptOriginal",45.4208777,-75.6901106,"35.69","139.75","city","10319.2214296989",1,0,0,1,740,"JPN"
"CoP14",2007,"The Hague (the Netherlands)","Observers","Iucn - the World Conservation Union","https://cites.org/sites/default/files/common/cop/14/list_observer.pdf","NA","14189854221612119881337760096","Muri bei Bern, Bern, Switzerland","City",52.0799838,4.3113461,"46.93","7.49","city","616.783931158239",0,1,0,1,NA,NA
"CoP9",1994,"Fort Lauderdale (United States of America)","Parties","Guatemala","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","52753113190484789044865743544","Guatemala City, Guatemala Department, Guatemala","City",26.1223084,-80.1433786,"14.64","-90.51","city","1670.87398940221",1,0,1,0,90,"GTM"
"CoP11",2000,"Gigiri (Kenya)","Observers","Traffic Network","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","43530645403280181497341724636","Hong Kong, Hong Kong, China","City",-1.2325029,36.8072952,"22.25","114.19","city","8763.80103713082",0,1,0,1,NA,NA
"CoP15",2010,"Doha (Qatar)","Parties","Argentina","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","655033193322323679390052602","Buenos Aires, Autonomous City of Buenos Aires, Argentina","City",25.2856329,51.5264162,"-34.61","-58.39","city","13314.8098606589",1,0,0,1,160,"ARG"
